enrollment_id,student_id,student_name,student_age,student_gender,student_level,student_program,GPA,is_employed,total_failed_subjects,discipline_score,analytical_score,practical_score,avg_screen_hours,course_id,course_name,course_category,course_level,course_difficulty,course_credit_hours,is_required,professor_id,professor_name,professor_program,professor_academic_rank,professor_specialization,professor_avg_teaching_score,professor_avg_pass_percentage,student_attendance_percentage_subject,weekly_avg_study_hours_subject,academic_year,subject_score
36,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M322,Theory of Elasticity 1,Applied Mathematics,3,3,2,Required,6,Ahmed Gomaa,Mathematics,Assistant Professor,Applied Mathematics,6,66,89,2.7,2025,89
37,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M317,Special Functions,Pure Mathematics,3,2,3,Required,24,Mahmoud Othman,Mathematics,Assistant Professor,Pure Mathematics,6,75,92,2.2,2025,93
38,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M333,Statistical Theory,Statistics,3,3,3,Required,22,Mohamed Ebrahim,Statistics and Computer Science,Assistant Professor,Statistics,7,97,92,2,2025,97
39,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M310,Linear Algebra 2,Pure Mathematics,3,3,2,Optional,44,Mona Anees,Mathematics,Assistant Professor,Pure Mathematics,6,64,92,2.7,2025,89
40,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M328,Statistical Mechanics,Applied Mathematics,3,3,2,Optional,2,Magdy Elias,Mathematics,Professor,Applied Mathematics,7,74,95,2.6,2025,91
41,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M411,Theory of Differential Equations,Pure Mathematics,4,4,2,Required,30,Tarek Fawzy,Mathematics,Associate Professor,Pure Mathematics,6,82,89,3.1,2026,100
42,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M413,Numerical Analysis 2,Pure Mathematics,4,2,3,Required,30,Tarek Fawzy,Mathematics,Associate Professor,Pure Mathematics,6,82,94,2.3,2026,98
43,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M415,Lie Algebra,Pure Mathematics,4,3,2,Required,24,Mahmoud Othman,Mathematics,Assistant Professor,Pure Mathematics,6,75,95,2.7,2026,97
44,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M416,Differential Geometry,Pure Mathematics,4,3,3,Required,24,Mahmoud Othman,Mathematics,Assistant Professor,Pure Mathematics,6,75,93,2.8,2026,97
45,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M421,Operations Research,Pure Mathematics,4,2,3,Required,10,Ahmed Salah,Statistics and Computer Science,Assistant Professor,Computer Science,9,79,96,2.2,2026,96
46,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M423,Quantum Mechanics,Applied Mathematics,4,4,2,Required,8,Samy Fekry,Mathematics,Assistant Professor,Applied Mathematics,9,60,98,3.3,2026,94
47,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M418,Network Theory,Pure Mathematics,4,3,2,Optional,1,Mohamed Elshafey,Mathematics,Professor,Pure Mathematics,8,51,96,3.1,2026,93
48,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M419,Topology 2,Pure Mathematics,4,4,2,Optional,44,Mona Anees,Mathematics,Assistant Professor,Pure Mathematics,6,64,94,3.4,2026,94
49,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M414,Functional Analysis,Pure Mathematics,4,4,3,Required,24,Mahmoud Othman,Mathematics,Assistant Professor,Pure Mathematics,6,75,93,3,2026,96
50,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M422,General Relativity,Applied Mathematics,4,4,2,Required,8,Samy Fekry,Mathematics,Assistant Professor,Applied Mathematics,9,60,95,3.2,2026,93
51,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M424,Advanced Mechanics,Applied Mathematics,4,4,2,Required,2,Magdy Elias,Mathematics,Professor,Applied Mathematics,7,74,95,3.1,2026,97
52,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M425,Hydrodynamics,Applied Mathematics,4,4,3,Required,8,Samy Fekry,Mathematics,Assistant Professor,Applied Mathematics,9,60,91,3.3,2026,95
53,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M429,Partial Differential Equations,Pure Mathematics,4,3,2,Required,1,Mohamed Elshafey,Mathematics,Professor,Pure Mathematics,8,51,96,3,2026,89
54,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M412,Graph Theory,Pure Mathematics,4,3,2,Optional,23,Mohamed Abdelrahman,Statistics and Computer Science,Professor,Pure Mathematics,7,85,94,2.4,2026,100
55,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M426,Modeling and Simulation,Pure Mathematics,4,2,2,Optional,5,Adel Bahy,Mathematics,Associate Professor,Pure Mathematics,6,78,91,2.1,2026,99
56,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,M241,Computer Organization and Assembly Language,Computer Science,2,2,3,Required,12,Nora Salah,Statistics and Computer Science,Assistant Professor,Computer Science,5,85,89,2.1,2024,91
57,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,M219,Discrete Mathematics,Pure Mathematics,2,2,2,Required,9,Safi Saber,Mathematics,Assistant Professor,Pure Mathematics,8,79,92,1.9,2024,87
58,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,M232,Probability Theory 1,Statistics,2,2,3,Required,20,Ahlam Hamdy,Statistics and Computer Science,Associate Professor,Statistics,5,77,87,2.1,2024,86
59,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,M242,Computer Algebra Systems,Computer Science,2,2,2,Optional,14,Fatma Eskander,Statistics and Computer Science,Assistant Professor,Computer Science,5,93,87,1.7,2024,92
60,1,Abdelrahman Ahmed,19,Male,2,Statistics and Computer Science,3.46,0,0,7,9,7,3,M243,Computer Network Theory,Computer Science,2,2,2,Optional,14,Fatma Eskander,Statistics and Computer Science,Assistant Professor,Computer Science,5,93,86,1.8,2024,91
61,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M331,Probability Theory 2,Statistics,3,3,3,Required,20,Ahlam Hamdy,Statistics and Computer Science,Associate Professor,Statistics,5,77,87,2.5,2025,94
62,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M334,Sampling Distributions and Methods,Statistics,3,3,2,Required,19,Faten Sheha,Statistics and Computer Science,Associate Professor,Statistics,7,82,94,2.5,2025,92
63,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M341,Data Structures,Computer Science,3,3,3,Required,13,Yaser Fouda,Statistics and Computer Science,Associate Professor,Computer Science,7,84,91,2.4,2025,94
64,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M342,Database Systems,Computer Science,3,2,2,Required,15,Bahaa Shabana,Mathematics,Associate Professor,Computer Science,9,51,99,2.7,2025,86
65,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M338,Order Statistics,Statistics,3,2,2,Optional,22,Mohamed Ebrahim,Statistics and Computer Science,Assistant Professor,Statistics,7,97,93,1.7,2025,98
66,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M346,Systems Analysis and Design,Computer Science,3,2,2,Optional,12,Nora Salah,Statistics and Computer Science,Assistant Professor,Computer Science,5,85,90,2.1,2025,94
67,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M332,Estimation Theory,Statistics,3,3,2,Required,21,Dina Ahmed,Statistics and Computer Science,Assistant Professor,Statistics,5,78,90,2.5,2025,94
68,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M337,Hypothesis Testing,Statistics,3,3,2,Required,22,Mohamed Ebrahim,Statistics and Computer Science,Assistant Professor,Statistics,7,97,93,2.3,2025,96
69,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M345,Operating Systems,Computer Science,3,3,3,Required,13,Yaser Fouda,Statistics and Computer Science,Associate Professor,Computer Science,7,84,92,2.2,2025,95
70,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M343,Artificial Intelligence,Computer Science,3,3,2,Required,14,Fatma Eskander,Statistics and Computer Science,Assistant Professor,Computer Science,5,93,88,2.2,2025,96
71,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M344,Structured Programming,Computer Science,3,2,3,Required,13,Yaser Fouda,Statistics and Computer Science,Associate Professor,Computer Science,7,84,92,2.2,2025,95
72,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M336,Data Analysis Using Statistical Software,Computer Science,3,2,2,Optional,13,Yaser Fouda,Statistics and Computer Science,Associate Professor,Computer Science,7,84,97,2.2,2025,93
73,1,Abdelrahman Ahmed,20,Male,3,Statistics and Computer Science,3.68,0,0,7,9,7,3,M348,Selected Topics in Computing,Computer Science,3,2,2,Optional,10,Ahmed Salah,Statistics and Computer Science,Assistant Professor,Computer Science,9,79,98,2,2025,90
74,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M431,Analysis of Variance,Statistics,4,3,3,Required,22,Mohamed Ebrahim,Statistics and Computer Science,Assistant Professor,Statistics,7,97,96,2.2,2026,100
75,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M432,Stochastic Processes,Statistics,4,3,3,Required,20,Ahlam Hamdy,Statistics and Computer Science,Associate Professor,Statistics,5,77,95,2.6,2026,96
76,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M441,Software Engineering,Computer Science,4,3,2,Required,12,Nora Salah,Statistics and Computer Science,Assistant Professor,Computer Science,5,85,94,2.5,2026,100
77,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M442,Neural Networks,Computer Science,4,3,2,Required,13,Yaser Fouda,Statistics and Computer Science,Associate Professor,Computer Science,7,84,93,2.5,2026,100
78,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M433,Non-Parametric Statistics,Statistics,4,3,2,Optional,22,Mohamed Ebrahim,Statistics and Computer Science,Assistant Professor,Statistics,7,97,97,2.2,2026,100
79,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M443,Expert Systems,Computer Science,4,3,2,Optional,15,Bahaa Shabana,Mathematics,Associate Professor,Computer Science,9,51,98,3,2026,93
80,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M434,Regression Analysis,Statistics,4,3,3,Required,21,Dina Ahmed,Statistics and Computer Science,Assistant Professor,Statistics,5,78,91,2.6,2026,98
81,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M435,Reliability Theory,Statistics,4,3,2,Required,19,Faten Sheha,Statistics and Computer Science,Associate Professor,Statistics,7,82,98,2.4,2026,97
82,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M444,Computer Graphics Systems,Computer Science,4,1,3,Required,14,Fatma Eskander,Statistics and Computer Science,Assistant Professor,Computer Science,5,93,92,1.7,2026,100
83,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M445,Algorithm Design and Analysis,Computer Science,4,3,3,Required,13,Yaser Fouda,Statistics and Computer Science,Associate Professor,Computer Science,7,84,91,2.5,2026,97
84,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M436,Time Series and Forecasting,Statistics,4,3,2,Optional,19,Faten Sheha,Statistics and Computer Science,Associate Professor,Statistics,7,82,95,2.4,2026,97
85,1,Abdelrahman Ahmed,21,Male,4,Statistics and Computer Science,3.9,0,0,7,9,7,3,M446,Image Processing,Computer Science,4,2,2,Optional,13,Yaser Fouda,Statistics and Computer Science,Associate Professor,Computer Science,7,84,91,2.4,2026,99
86,2,Hossam Hamdy,19,Male,1,Mathematics,1.88,0,2,5,7,8,6,M111,Calculus 1,Pure Mathematics,1,1,3,Required,28,Hanan Darwish,Mathematics,Professor,Pure Mathematics,6,93,57,0.1,2025,71
87,2,Hossam Hamdy,19,Male,1,Mathematics,1.88,0,2,5,7,8,6,M121,Mechanics 1,Applied Mathematics,1,2,3,Required,7,Mohamed Gomaa,Mathematics,Assistant Professor,Applied Mathematics,4,60,54,0.1,2025,58
88,2,Hossam Hamdy,19,Male,1,Mathematics,1.88,0,2,5,7,8,6,P101,Properties of Heat and Matter,Physics,1,2,3,Required,43,Mohamed Tawfik,Physics,Professor,Physics,7,61,62,0.1,2025,58
89,2,Hossam Hamdy,19,Male,1,Mathematics,1.88,0,2,5,7,8,6,P102,"Electricity, Magnetism and Light",Physics,1,2,3,Required,42,Ehab Salim,Physics,Assistant Professor,Physics,9,67,65,0.1,2025,62
90,2,Hossam Hamdy,19,Male,1,Mathematics,1.88,0,2,5,7,8,6,C102,General Chemistry 2,Chemistry,1,1,3,Required,35,Gamela Badr,Chemistry,Associate Professor,Chemistry,3,74,54,0.1,2025,63
91,2,Hossam Hamdy,19,Male,1,Mathematics,1.88,0,2,5,7,8,6,G101,Human Rights and Anti-Corruption,General Science,1,1,2,Required,40,Marwa Elghalban,Chemistry,Associate Professor,Chemistry,6,77,55,0.1,2025,64
92,2,Hossam Hamdy,19,Male,1,Mathematics,1.88,0,2,5,7,8,6,M112,Algebra and Geometry,Pure Mathematics,1,2,3,Required,5,Adel Bahy,Mathematics,Associate Professor,Pure Mathematics,6,78,58,0.1,2025,65
93,2,Hossam Hamdy,19,Male,1,Mathematics,1.88,0,2,5,7,8,6,M113,Calculus 2,Pure Mathematics,1,2,3,Required,25,Ahmed Saed,Mathematics,Associate Professor,Pure Mathematics,6,72,57,0.1,2025,62
94,2,Hossam Hamdy,19,Male,1,Mathematics,1.88,0,2,5,7,8,6,M122,Mechanics 2,Applied Mathematics,1,2,3,Required,2,Magdy Elias,Mathematics,Professor,Applied Mathematics,7,74,60,0.1,2025,61
95,2,Hossam Hamdy,19,Male,1,Mathematics,1.88,0,2,5,7,8,6,P103,Electrical Circuits,Physics,1,2,3,Required,36,Mohamed Mostafa,Physics,Assistant Professor,Physics,5,75,57,0.1,2025,65
96,2,Hossam Hamdy,19,Male,1,Mathematics,1.88,0,2,5,7,8,6,C101,General Chemistry 1,Chemistry,1,1,3,Required,33,Mohamed Ramadan,Chemistry,Associate Professor,Chemistry,9,72,64,0.1,2025,63
97,2,Hossam Hamdy,19,Male,1,Mathematics,1.88,0,2,5,7,8,6,G102,Introduction to Computer Science,Computer Science,1,1,2,Required,27,Abdelrahman Karawya,Mathematics,Professor,Computer Science,7,77,62,0.1,2025,65
98,2,Hossam Hamdy,20,Male,2,Mathematics,2.4,0,2,5,7,8,6,M212,Abstract Algebra 1,Pure Mathematics,2,4,3,Required,9,Safi Saber,Mathematics,Assistant Professor,Pure Mathematics,8,79,65,0.6,2026,74
99,2,Hossam Hamdy,20,Male,2,Mathematics,2.4,0,2,5,7,8,6,M214,Differential Equations 1,Pure Mathematics,2,3,3,Required,1,Mohamed Elshafey,Mathematics,Professor,Pure Mathematics,8,51,64,0.6,2026,68
100,2,Hossam Hamdy,20,Male,2,Mathematics,2.4,0,2,5,7,8,6,M216,Advanced Calculus,Pure Mathematics,2,3,3,Required,3,Samir kasem,Mathematics,Professor,Pure Mathematics,7,57,59,0.6,2026,69
101,2,Hossam Hamdy,20,Male,2,Mathematics,2.4,0,2,5,7,8,6,M221,Mechanics 3,Applied Mathematics,2,3,3,Required,7,Mohamed Gomaa,Mathematics,Assistant Professor,Applied Mathematics,4,60,62,0.5,2026,68
102,2,Hossam Hamdy,20,Male,2,Mathematics,2.4,0,2,5,7,8,6,M231,Introduction to Statistics and Probability,Statistics,2,2,3,Required,21,Dina Ahmed,Statistics and Computer Science,Assistant Professor,Statistics,5,78,58,0.1,2026,74
103,2,Hossam Hamdy,20,Male,2,Mathematics,2.4,0,2,5,7,8,6,G201,Scientific Terminology in English,General Science,2,1,2,Required,37,Ebrahim Elkamash,Physics,Assistant Professor,Physics,8,70,61,0.1,2026,74
104,2,Hossam Hamdy,20,Male,2,Mathematics,2.4,0,2,5,7,8,6,M211,Real Analysis,Pure Mathematics,2,4,3,Required,3,Samir kasem,Mathematics,Professor,Pure Mathematics,7,57,61,0.8,2026,68
105,2,Hossam Hamdy,20,Male,2,Mathematics,2.4,0,2,5,7,8,6,M215,Linear Algebra 1,Pure Mathematics,2,2,3,Required,16,Mostafa Mhanna,Mathematics,Assistant Professor,Pure Mathematics,7,75,58,0.1,2026,76
106,2,Hossam Hamdy,20,Male,2,Mathematics,2.4,0,2,5,7,8,6,M218,Analytical Geometry,Pure Mathematics,2,2,3,Required,45,Awatef Mohamed,Mathematics,Associate Professor,Pure Mathematics,6,70,63,0.1,2026,73
107,2,Hossam Hamdy,20,Male,2,Mathematics,2.4,0,2,5,7,8,6,M223,Mechanics 4,Applied Mathematics,2,3,3,Required,2,Magdy Elias,Mathematics,Professor,Applied Mathematics,7,74,62,0.2,2026,72
